year,engine size,automatic transmission,mileage,fuel type,tax,mpg,price
2016,1.0,no,27198.0,petrol,0.0,69.0,6875.0
2015,1.6,yes,34878.0,petrol,200.0,43.6,6890.0
2010,2.0,no,89000.0,diesel,150.0,48.7,6890.0
2015,1.4,no,28944.0,petrol,30.0,55.4,6890.0
2014,1.0,no,33733.0,petrol,20.0,60.1,6892.0
2015,1.0,no,12455.0,petrol,20.0,62.8,6892.0
2016,1.4,no,36000.0,petrol,30.0,54.3,6895.0
2014,1.3,no,55000.0,petrol,30.0,55.0,6895.0
2012,2.0,no,84303.0,diesel,30.0,60.1,6895.0
2012,2.0,no,88394.0,diesel,125.0,60.1,6899.0
2018,1.0,no,17771.0,petrol,145.0,62.8,6907.0
2014,1.0,no,32000.0,petrol,0.0,65.7,6940.0
2017,1.0,no,22242.0,petrol,150.0,68.9,6946.0
2010,3.0,yes,259000.0,diesel,540.0,30.7,6949.0
2014,1.0,no,41076.0,petrol,0.0,65.7,6949.0
2017,1.4,no,37265.0,petrol,145.0,47.1,6950.0
2016,1.0,no,7416.0,petrol,20.0,62.8,6960.0
2017,1.2,no,23745.0,petrol,30.0,57.7,6968.0
2014,1.2,no,70000.0,petrol,20.0,60.1,6975.0
2016,1.0,no,21441.0,petrol,0.0,69.0,6975.0
2017,1.0,no,13000.0,petrol,150.0,64.2,6981.0
2016,1.2,no,19947.0,petrol,30.0,55.4,6990.0
2016,1.4,no,23736.0,petrol,30.0,55.4,6990.0
2015,1.0,no,23401.0,petrol,30.0,57.6,6990.0
2017,1.2,no,19653.0,petrol,145.0,57.7,6990.0
2016,1.3,no,51926.0,petrol,30.0,58.0,6990.0
2013,2.0,no,66000.0,diesel,125.0,60.1,6990.0
2013,1.6,no,54178.0,diesel,30.0,62.8,6990.0
2012,2.0,no,74000.0,diesel,30.0,62.8,6990.0
2016,1.0,no,14616.0,petrol,20.0,64.2,6990.0
2016,1.0,no,32000.0,petrol,0.0,65.7,6990.0
2017,1.0,no,12118.0,petrol,0.0,69.0,6990.0
2016,1.0,no,14407.0,petrol,0.0,69.0,6990.0
2015,1.0,no,31643.0,petrol,0.0,69.0,6990.0
2016,1.5,no,56000.0,diesel,0.0,74.3,6990.0
2017,1.4,no,32765.0,petrol,145.0,55.4,6991.0
2016,1.4,no,52456.0,diesel,0.0,78.5,6991.0
2013,1.6,yes,32482.0,petrol,160.0,44.1,6992.0
2015,1.6,no,46200.0,petrol,205.0,43.5,6995.0
2014,1.4,no,38588.0,petrol,145.0,47.1,6995.0
2013,1.3,no,33900.0,petrol,125.0,51.4,6995.0
2016,1.2,no,26309.0,petrol,125.0,53.3,6995.0
2016,1.4,no,26994.0,petrol,30.0,55.4,6995.0
2016,1.2,no,21466.0,petrol,145.0,57.7,6995.0
2018,1.0,no,30737.0,petrol,145.0,57.7,6995.0
2016,1.0,no,32149.0,petrol,20.0,58.8,6995.0
2013,1.0,no,35000.0,petrol,20.0,58.9,6995.0
2016,1.2,no,42379.0,petrol,20.0,60.1,6995.0
2012,2.0,no,93697.0,diesel,125.0,60.1,6995.0
2017,1.0,no,3000.0,petrol,145.0,60.1,6995.0
2017,1.0,no,8616.0,petrol,145.0,60.1,6995.0
2017,1.0,no,20654.0,petrol,20.0,64.2,6995.0
2017,1.0,no,25000.0,petrol,20.0,64.2,6995.0
2017,1.0,yes,62051.0,petrol,20.0,64.2,6995.0
2017,1.0,no,7536.0,petrol,150.0,64.2,6995.0
